diet_id,user_id,meal_type,food_items,calories_intake,meal_date
49,49,Breakfast,"Lamb Chops, Chicken Curry, Kadhi Pakora",569,10-06-2025
50,50,Breakfast,"Spaghetti Bolognese, Biryani",162,19-05-2025
51,51,Snack,"Grilled Chicken, Chole Bhature, Pizza, Tandoori Chicken",528,29-05-2025
52,52,Dinner,"Fried Rice, Ramen",591,19-05-2025
53,53,Dinner,"Tandoori Chicken, Vada, Burrito",702,26-05-2025
54,54,Breakfast,"Omelette, Bibimbap, Quesadilla",497,17-05-2025
55,55,Lunch,"Milkshake, Chicken Curry, Spaghetti Bolognese, Chicken Wrap, Dal Tadka",145,26-05-2025
56,56,Lunch,"Hakka Noodles, Idli, Tempura",1075,01-06-2025
57,57,Dinner,"Chole Bhature, Poha",566,23-05-2025
58,58,Breakfast,"Tacos, Caesar Salad",1020,09-06-2025
59,59,Snack,"Burrito, Cereal, Pad Thai, Caesar Salad, Quesadilla",1007,18-05-2025
60,60,Breakfast,"Spaghetti Bolognese, Lamb Chops",270,23-05-2025
61,61,Snack,"Quesadilla, Fruit Salad, Muesli, Spaghetti Bolognese",486,24-05-2025
62,62,Breakfast,"Mac and Cheese, Fish and Chips",538,29-05-2025
63,63,Dinner,"Cereal, Green Tea, Biryani, Grilled Chicken",498,08-06-2025
64,64,Lunch,"Buttermilk, Spring Rolls, Manchurian, Omelette",699,27-05-2025
65,65,Snack,"Tom Yum Soup, Mutton Rogan Josh, Yogurt, Lemon Rice",1089,06-06-2025
66,66,Snack,"Pizza, Hakka Noodles, Ramen, Tempura",975,13-06-2025
67,67,Snack,"Nachos, Upma, Fried Rice, Pho",107,20-05-2025
68,68,Breakfast,"Veg Sandwich, Chicken Curry, Cereal",575,11-06-2025
69,69,Lunch,"Yogurt, Sushi, Paneer Butter Masala",285,03-06-2025
70,70,Dinner,"Masala Dosa, Cereal, Nachos, Quesadilla",507,08-06-2025
71,71,Lunch,"Tandoori Chicken, Chole Bhature, Spaghetti Bolognese",805,04-06-2025
72,72,Snack,"Masala Dosa, Lemon Rice, Poha, Muesli",1118,29-05-2025
73,73,Breakfast,"Kadhi Pakora, Nachos, Chicken Wrap, Sushi",622,19-05-2025
74,74,Snack,"Ramen, Green Curry",237,21-05-2025
75,75,Lunch,"Tacos, Manchurian",282,22-05-2025
76,76,Snack,"Burger, Hakka Noodles, Bibimbap, Sushi, Lemon Rice",587,22-05-2025
77,77,Lunch,"Scrambled Egg, Dal Tadka, Omelette, Boiled Egg, Mutton Rogan Josh",273,21-05-2025
78,78,Breakfast,"Sushi, Green Tea, Quesadilla",850,23-05-2025
79,79,Lunch,"Burrito, Fried Rice, Upma, French Fries, Buttermilk",690,02-06-2025
80,80,Lunch,"Mutton Rogan Josh, Greek Salad, Pasta Alfredo, Vada",679,09-06-2025
81,81,Snack,"Grilled Chicken, Fried Rice, Omelette, Smoothie Bowl",892,09-06-2025
82,82,Lunch,"Milkshake, Lassi, Quesadilla, Green Tea",994,11-06-2025
83,83,Lunch,"Pav Bhaji, Butter Naan",1062,20-05-2025
84,84,Lunch,"Greek Salad, Manchurian",974,10-06-2025
85,85,Lunch,"Ramen, Yogurt, Grilled Chicken, Lamb Chops",637,22-05-2025
86,86,Lunch,"Chicken Wrap, Dal Tadka, Hakka Noodles, Hot Dog",359,19-05-2025
87,87,Dinner,"Tacos, Nachos, Quesadilla, Spring Rolls",373,25-05-2025
88,88,Dinner,"Chicken Wrap, Nachos, Caesar Salad, Scrambled Egg",987,03-06-2025
89,89,Breakfast,"Tandoori Chicken, Butter Naan, Buttermilk, Greek Salad",650,18-05-2025
90,90,Snack,"Boiled Egg, Omelette, Quesadilla",726,23-05-2025
91,91,Breakfast,"Quesadilla, Idli",940,28-05-2025
92,92,Snack,"Biryani, Coffee, Greek Salad",116,10-06-2025
93,93,Dinner,"Veg Sandwich, Lemon Rice",453,28-05-2025
94,94,Snack,"Tacos, Protein Shake, Tandoori Chicken, Boiled Egg, Sambar Rice",258,29-05-2025
95,95,Lunch,"Green Curry, Vada, Pad Thai",610,28-05-2025
96,96,Breakfast,"Paneer Butter Masala, Pizza, Hot Dog, Burger",235,19-05-2025
97,97,Breakfast,"Nachos, Chicken Curry, Green Curry, Veg Sandwich",776,12-06-2025
98,98,Dinner,"Bibimbap, Burrito, Fish and Chips",1116,13-06-2025
99,99,Breakfast,"Fish and Chips, Grilled Chicken, Lassi",1182,07-06-2025
100,100,Snack,"Tempura, Paneer Butter Masala, Spaghetti Bolognese, Smoothie Bowl",1086,28-05-2025
101,101,Breakfast,"Hot Dog, Upma, Chicken Wrap, Grilled Chicken, Greek Salad",152,30-05-2025
102,102,Breakfast,"Lemon Rice, Omelette",228,26-05-2025
103,103,Breakfast,"Vada, Porridge",325,05-06-2025
104,104,Breakfast,"Manchurian, Lemon Rice",244,05-06-2025
105,105,Snack,"Biryani, Smoothie Bowl",221,26-05-2025
106,106,Snack,"Quesadilla, Fish and Chips, Pho",622,12-06-2025
107,107,Dinner,"Kadhi Pakora, Tempura, Poha",536,07-06-2025
108,108,Snack,"Idli, Sushi, Greek Salad, French Fries, Yogurt",1137,23-05-2025
109,109,Dinner,"Chicken Wrap, Spaghetti Bolognese, Lassi, Aloo Paratha",846,10-06-2025
110,110,Lunch,"Tom Yum Soup, Fried Rice, Green Tea, Rajma Chawal",552,06-06-2025
111,111,Lunch,"Dal Tadka, Cereal, Pizza, Poha, Chole Bhature",774,24-05-2025
112,112,Snack,"Scrambled Egg, Smoothie Bowl, Aloo Paratha, Ramen, Quesadilla",871,25-05-2025
113,113,Lunch,"Bibimbap, Mutton Rogan Josh, Fruit Salad, Cereal, Fish and Chips",260,08-06-2025
114,114,Breakfast,"Ramen, Spring Rolls, Masala Dosa",1168,19-05-2025
115,115,Snack,"Coffee, Tempura, Manchurian, Nachos",586,30-05-2025
116,116,Snack,"Mac and Cheese, Fish and Chips, Spaghetti Bolognese, Tandoori Chicken",298,14-06-2025
117,117,Breakfast,"Tacos, Palak Paneer, Green Tea, Aloo Paratha, French Fries",861,24-05-2025
118,118,Breakfast,"Burrito, Milkshake",575,01-06-2025
119,119,Dinner,"Masala Dosa, Grilled Chicken, Coffee",617,13-06-2025
120,120,Snack,"Bibimbap, Biryani, Omelette",331,12-06-2025
121,121,Dinner,"Mac and Cheese, Scrambled Egg, Tom Yum Soup",461,09-06-2025
122,122,Lunch,"Ramen, French Fries, Fish and Chips, Protein Shake",787,01-06-2025
123,123,Breakfast,"Grilled Chicken, Spring Rolls",132,13-06-2025
124,124,Lunch,"Chicken Curry, Mutton Rogan Josh, Boiled Egg, Dal Tadka, Buttermilk",275,24-05-2025
125,125,Dinner,"Grilled Chicken, Smoothie Bowl, Aloo Paratha, Caesar Salad",791,12-06-2025
126,126,Dinner,"Fruit Salad, Idli, Greek Salad",728,29-05-2025
127,127,Snack,"Chicken Wrap, Fruit Salad, Poha, Pasta Alfredo, Manchurian",420,05-06-2025
128,128,Snack,"Quesadilla, Fried Rice, Scrambled Egg, Tacos, Greek Salad",919,04-06-2025
129,129,Snack,"Green Curry, Lamb Chops, Dal Tadka, Biryani, Veg Sandwich",669,25-05-2025
130,130,Lunch,"Fruit Salad, Lemon Rice, Sambar Rice, Upma",327,06-06-2025
131,131,Lunch,"Kadhi Pakora, Upma, Aloo Paratha",369,04-06-2025
132,132,Breakfast,"Muesli, Tom Yum Soup, Sambar Rice, Poha, Tempura",1024,15-06-2025
133,133,Snack,"Veg Sandwich, Kadhi Pakora, Biryani, Spring Rolls, Boiled Egg",866,06-06-2025
134,134,Snack,"Pizza, Tacos, Spring Rolls",551,30-05-2025
135,135,Snack,"Sushi, Green Tea, Biryani, Cereal",518,28-05-2025
136,136,Breakfast,"Biryani, Dal Tadka, Mutton Rogan Josh, Sushi, Grilled Chicken",754,12-06-2025
137,137,Dinner,"Mac and Cheese, Buttermilk, Hot Dog, Tandoori Chicken, Burger",285,27-05-2025
138,138,Lunch,"Biryani, Boiled Egg, Pizza, Protein Shake, Bibimbap",318,06-06-2025
139,139,Dinner,"Upma, Grilled Chicken, Sambar Rice, Hakka Noodles",1016,06-06-2025
140,140,Breakfast,"Mutton Rogan Josh, Tom Yum Soup, Nachos, Green Curry, Pad Thai",582,14-06-2025
141,141,Lunch,"Boiled Egg, Palak Paneer",251,22-05-2025
142,142,Dinner,"Biryani, Hot Dog, Spring Rolls, Lassi",1090,05-06-2025
143,143,Lunch,"Quesadilla, Milkshake, Kadhi Pakora, Chicken Curry",967,22-05-2025
144,144,Dinner,"Hot Dog, Yogurt",130,05-06-2025
145,145,Lunch,"Sushi, Caesar Salad",1149,05-06-2025
146,146,Breakfast,"Mac and Cheese, Yogurt",189,08-06-2025
147,147,Dinner,"Hakka Noodles, Biryani",1059,11-06-2025
148,148,Lunch,"Mac and Cheese, Beef Steak, Tom Yum Soup",245,23-05-2025
149,149,Lunch,"Mutton Rogan Josh, Burrito, Cereal, Pho",606,11-06-2025
150,150,Lunch,"Butter Naan, Omelette",1132,27-05-2025
151,151,Breakfast,"Burger, Palak Paneer, Green Curry",1112,28-05-2025
152,152,Lunch,"Burger, Pav Bhaji, Ramen, Pasta Alfredo, Sambar Rice",558,20-05-2025
153,153,Lunch,"Green Curry, Pizza, French Fries",985,01-06-2025
154,154,Lunch,"Chicken Curry, Green Curry",1162,17-05-2025
155,155,Dinner,"Hot Dog, Idli",231,26-05-2025
156,156,Snack,"Spring Rolls, Coffee, Beef Steak, Boiled Egg",506,06-06-2025
157,157,Lunch,"Green Curry, Butter Naan",510,08-06-2025
158,158,Dinner,"Yogurt, Pasta Alfredo, Pad Thai",1086,22-05-2025
159,159,Dinner,"Green Tea, French Fries, Lemon Rice, Chole Bhature",528,09-06-2025
160,160,Lunch,"Bibimbap, Spaghetti Bolognese, Pizza, Pasta Alfredo, Lassi",226,30-05-2025
161,161,Snack,"Chicken Wrap, Protein Shake, Nachos, Quesadilla, Tacos",445,23-05-2025
162,162,Breakfast,"Green Curry, Quesadilla, Scrambled Egg, Burrito, Porridge",627,08-06-2025
163,163,Breakfast,"Butter Naan, Sushi, Milkshake",558,08-06-2025
164,164,Snack,"Mutton Rogan Josh, Greek Salad, Manchurian, Spring Rolls, Muesli",285,31-05-2025
165,165,Lunch,"Mutton Rogan Josh, Pho",540,01-06-2025
166,166,Breakfast,"Biryani, Sambar Rice",775,04-06-2025
167,167,Breakfast,"Protein Shake, Beef Steak, Spring Rolls, Fried Rice, Aloo Paratha",664,04-06-2025
168,168,Breakfast,"Smoothie Bowl, Paneer Butter Masala, Spring Rolls",494,08-06-2025
169,169,Snack,"Cereal, Milkshake",874,09-06-2025
170,170,Snack,"Lemon Rice, Green Tea, Sambar Rice, Vada",1161,23-05-2025
171,171,Snack,"Caesar Salad, Sushi",539,17-05-2025
172,172,Snack,"Dal Tadka, Biryani, Bibimbap",610,20-05-2025
173,173,Dinner,"Boiled Egg, Tom Yum Soup, Tempura, Pav Bhaji, Muesli",115,26-05-2025
174,174,Snack,"Coffee, Biryani, Poha, Sambar Rice",246,03-06-2025
175,175,Breakfast,"Muesli, Palak Paneer, Nachos",238,14-06-2025
176,176,Lunch,"Grilled Chicken, Spring Rolls, Tom Yum Soup, Butter Naan, Pho",709,29-05-2025
177,177,Breakfast,"Tempura, Greek Salad, Chicken Wrap, Pad Thai, Pasta Alfredo",570,28-05-2025
178,178,Lunch,"Porridge, Pasta Alfredo",535,02-06-2025
179,179,Dinner,"Mutton Rogan Josh, Pav Bhaji, Tandoori Chicken",994,14-06-2025
180,180,Breakfast,"Chicken Curry, Pizza, Manchurian, Idli",550,03-06-2025
181,181,Snack,"Burger, Masala Dosa, Kadhi Pakora",243,25-05-2025
182,182,Snack,"Fried Rice, Pasta Alfredo, Burger, Cereal",613,08-06-2025
183,183,Lunch,"Lassi, Masala Dosa, Ramen",353,15-06-2025
184,184,Dinner,"Quesadilla, Pho, Nachos, Poha, Fruit Salad",564,09-06-2025
185,185,Lunch,"Vada, Coffee, Pad Thai, Grilled Chicken, Caesar Salad",1178,28-05-2025
186,186,Lunch,"French Fries, Lassi",145,22-05-2025
187,187,Dinner,"Omelette, Mac and Cheese, Butter Naan, Ramen, Upma",1077,30-05-2025
188,188,Lunch,"Fruit Salad, Palak Paneer, Paneer Butter Masala, Rajma Chawal, Sushi",1077,20-05-2025
189,189,Lunch,"Tempura, Green Curry, Tacos, Porridge, Green Tea",261,20-05-2025
190,190,Snack,"Tandoori Chicken, Lassi, Fried Rice, Palak Paneer",483,30-05-2025
191,191,Breakfast,"Yogurt, Lamb Chops, Quesadilla",288,11-06-2025
192,192,Breakfast,"Palak Paneer, Idli, Tom Yum Soup",840,07-06-2025
193,193,Snack,"Dal Tadka, Paneer Butter Masala",182,29-05-2025
194,194,Snack,"Nachos, Milkshake, Cereal, Lassi",578,14-06-2025
195,195,Dinner,"Greek Salad, Green Curry, Milkshake, Tacos, Coffee",664,22-05-2025
196,196,Lunch,"Aloo Paratha, Upma, Tandoori Chicken, Pasta Alfredo",376,24-05-2025
197,197,Breakfast,"Vada, Dal Tadka, Masala Dosa, Hakka Noodles",696,25-05-2025
198,198,Lunch,"Protein Shake, Scrambled Egg, French Fries",214,03-06-2025
199,199,Breakfast,"Palak Paneer, Beef Steak, Pho",900,12-06-2025
200,200,Lunch,"Lemon Rice, Tacos, Chole Bhature, Nachos",878,28-05-2025
201,201,Dinner,"Pasta Alfredo, Protein Shake",122,10-06-2025
202,202,Lunch,"Bibimbap, Buttermilk, Rajma Chawal",213,14-06-2025
203,203,Snack,"Chicken Wrap, Paneer Butter Masala",961,31-05-2025
204,204,Snack,"Pad Thai, Greek Salad, Green Tea, Chicken Wrap, Spaghetti Bolognese",782,12-06-2025
205,205,Breakfast,"Spaghetti Bolognese, Paneer Butter Masala, Pasta Alfredo",986,12-06-2025
206,206,Lunch,"Spaghetti Bolognese, Paneer Butter Masala, Aloo Paratha, Coffee",1000,31-05-2025
207,207,Lunch,"Tandoori Chicken, Chicken Curry, Chole Bhature, Lemon Rice, Bibimbap",361,22-05-2025
208,208,Breakfast,"Tempura, Green Tea, Fish and Chips",126,19-05-2025
209,209,Lunch,"Nachos, Mac and Cheese, Quesadilla, Chole Bhature",224,24-05-2025
210,210,Dinner,"Dal Tadka, Cereal",300,30-05-2025
211,211,Snack,"Biryani, Cereal",746,17-05-2025
212,212,Lunch,"Beef Steak, Lassi, Burger",785,26-05-2025
213,213,Lunch,"Green Curry, Biryani, Paneer Butter Masala",938,31-05-2025
214,214,Snack,"Scrambled Egg, Fruit Salad",1140,27-05-2025
215,215,Dinner,"Beef Steak, Lassi, French Fries, Chicken Curry",773,08-06-2025
216,216,Snack,"Fish and Chips, Sushi, Tacos, Rajma Chawal, Yogurt",349,03-06-2025
217,217,Lunch,"French Fries, Palak Paneer, Fish and Chips, Vada, Rajma Chawal",993,01-06-2025
218,218,Lunch,"Pad Thai, Pizza, Ramen, Lassi",522,05-06-2025
219,219,Lunch,"Coffee, Paneer Butter Masala",101,03-06-2025
220,220,Lunch,"Muesli, Quesadilla, Tandoori Chicken, Tempura",457,29-05-2025
221,221,Dinner,"Upma, Nachos, Veg Sandwich, Protein Shake, Chicken Wrap",207,21-05-2025
222,222,Breakfast,"Manchurian, Grilled Chicken",411,03-06-2025
223,223,Snack,"Lassi, Mac and Cheese, Caesar Salad, Burrito",283,18-05-2025
224,224,Snack,"Tacos, Palak Paneer",1026,18-05-2025
225,225,Snack,"Protein Shake, Pho, Chicken Curry",773,27-05-2025
226,226,Snack,"Palak Paneer, Pizza, Mac and Cheese, Pav Bhaji",1089,23-05-2025
227,227,Breakfast,"Protein Shake, Tom Yum Soup, Pizza",238,08-06-2025
228,228,Lunch,"Coffee, Dal Tadka",956,21-05-2025
229,229,Lunch,"Masala Dosa, Fish and Chips",583,30-05-2025
230,230,Dinner,"Boiled Egg, Chicken Curry, Burger, Pav Bhaji",997,06-06-2025
231,231,Dinner,"Pasta Alfredo, Protein Shake, Caesar Salad, Boiled Egg, Fish and Chips",1172,29-05-2025
232,232,Lunch,"Idli, Vada, Lemon Rice",1097,10-06-2025
233,233,Lunch,"Hakka Noodles, Smoothie Bowl",167,20-05-2025
234,234,Lunch,"Lassi, Pho",252,22-05-2025
235,235,Lunch,"Butter Naan, Pav Bhaji, Rajma Chawal, Chicken Wrap, Pizza",641,25-05-2025
236,236,Snack,"Nachos, Scrambled Egg, Chicken Wrap, Ramen, Idli",901,27-05-2025
237,237,Lunch,"Mutton Rogan Josh, Aloo Paratha, Paneer Butter Masala",158,02-06-2025
238,238,Dinner,"Chole Bhature, Poha, Spaghetti Bolognese, Manchurian",319,22-05-2025
239,239,Lunch,"Manchurian, Nachos, Spaghetti Bolognese, Fruit Salad, Lamb Chops",1049,02-06-2025
240,240,Breakfast,"Muesli, Beef Steak, Chicken Wrap, Chicken Curry, Milkshake",109,07-06-2025
241,241,Dinner,"French Fries, Coffee, Pasta Alfredo",277,05-06-2025
242,242,Dinner,"Protein Shake, Butter Naan, Manchurian",319,10-06-2025
243,243,Snack,"Burger, Green Curry, Burrito",271,19-05-2025
244,244,Snack,"Biryani, Spring Rolls",726,06-06-2025
245,245,Breakfast,"Fruit Salad, Chole Bhature, Palak Paneer, Burger, Tom Yum Soup",427,07-06-2025
246,246,Breakfast,"Milkshake, Green Tea, Quesadilla, Bibimbap, Sambar Rice",418,10-06-2025
247,247,Snack,"Smoothie Bowl, Veg Sandwich",357,21-05-2025
248,248,Lunch,"Burger, Buttermilk, Tacos, Lassi",719,19-05-2025
249,249,Lunch,"French Fries, Smoothie Bowl",123,08-06-2025
250,250,Breakfast,"Nachos, Poha, Tom Yum Soup, Hakka Noodles, Paneer Butter Masala",1049,05-06-2025
251,251,Lunch,"Dal Tadka, Boiled Egg, Beef Steak",645,21-05-2025
252,252,Lunch,"Manchurian, Mutton Rogan Josh",297,12-06-2025
253,253,Lunch,"Chicken Wrap, Pasta Alfredo, Dal Tadka",443,07-06-2025
254,254,Lunch,"Chicken Wrap, Spaghetti Bolognese, Yogurt, Fruit Salad",865,04-06-2025
255,255,Breakfast,"Spring Rolls, Beef Steak, Burger, Dal Tadka",1082,08-06-2025
256,256,Breakfast,"Yogurt, Omelette, Veg Sandwich, Dal Tadka, Ramen",790,04-06-2025
257,257,Breakfast,"Butter Naan, French Fries, Tacos",235,27-05-2025
258,258,Snack,"Lassi, Green Tea, Muesli, Coffee",739,18-05-2025
259,259,Dinner,"Milkshake, Sambar Rice, Poha, Pizza, Mutton Rogan Josh",444,27-05-2025
260,260,Snack,"Chole Bhature, Aloo Paratha",136,04-06-2025
261,261,Dinner,"Smoothie Bowl, Biryani",690,22-05-2025
262,262,Snack,"Buttermilk, Muesli, Masala Dosa, Grilled Chicken, Sambar Rice",447,22-05-2025
263,263,Lunch,"Chole Bhature, French Fries",490,20-05-2025
264,264,Snack,"Grilled Chicken, Kadhi Pakora",539,31-05-2025
265,265,Lunch,"Chicken Curry, Scrambled Egg, Pasta Alfredo",832,14-06-2025
266,266,Dinner,"Greek Salad, Cereal",1111,07-06-2025
267,267,Snack,"Chole Bhature, Nachos, Grilled Chicken, Paneer Butter Masala",955,17-05-2025
268,268,Dinner,"Smoothie Bowl, Green Curry, Manchurian, Kadhi Pakora",578,28-05-2025
269,269,Lunch,"Tandoori Chicken, Greek Salad, Lemon Rice",1078,06-06-2025
270,270,Breakfast,"Aloo Paratha, Fruit Salad, Chole Bhature",664,19-05-2025
271,271,Breakfast,"Yogurt, Lemon Rice, Scrambled Egg",715,09-06-2025
272,272,Lunch,"Masala Dosa, Burrito, Spring Rolls, Ramen, Mac and Cheese",1052,24-05-2025
273,273,Lunch,"Buttermilk, Pho, Fish and Chips",171,30-05-2025
274,274,Lunch,"Smoothie Bowl, Ramen, Green Curry, Tandoori Chicken, Caesar Salad",1045,09-06-2025
275,275,Lunch,"Veg Sandwich, Milkshake",680,12-06-2025
276,276,Lunch,"Spaghetti Bolognese, Mac and Cheese, Green Tea, Kadhi Pakora, Hot Dog",1155,19-05-2025
277,277,Breakfast,"Tandoori Chicken, Smoothie Bowl, Green Tea",530,10-06-2025
278,278,Snack,"Paneer Butter Masala, Milkshake, Fish and Chips, Burger, Cereal",457,12-06-2025
279,279,Lunch,"Vada, Bibimbap",748,11-06-2025
280,280,Snack,"Aloo Paratha, Paneer Butter Masala, Sushi",1008,09-06-2025
281,281,Dinner,"Paneer Butter Masala, Fried Rice",342,28-05-2025
282,282,Breakfast,"Burrito, Fish and Chips, Protein Shake",1055,26-05-2025
283,283,Dinner,"Burrito, French Fries, Tempura, Smoothie Bowl",486,18-05-2025
284,284,Breakfast,"Tacos, Lemon Rice, Hakka Noodles, Ramen",372,28-05-2025
285,285,Dinner,"Chole Bhature, Veg Sandwich, Grilled Chicken",569,26-05-2025
286,286,Dinner,"Tempura, Milkshake, Pasta Alfredo, Green Curry, Bibimbap",451,21-05-2025
287,287,Dinner,"Aloo Paratha, Porridge, Chole Bhature, Hakka Noodles",682,14-06-2025
288,288,Snack,"Scrambled Egg, Tom Yum Soup, Fruit Salad, Protein Shake",838,12-06-2025
289,289,Snack,"Kadhi Pakora, Porridge, Rajma Chawal",577,10-06-2025
290,290,Snack,"Poha, Greek Salad, Grilled Chicken",866,25-05-2025
291,291,Dinner,"Porridge, Manchurian",206,20-05-2025
292,292,Lunch,"Lemon Rice, Vada",736,29-05-2025
293,293,Lunch,"Green Tea, Veg Sandwich",814,19-05-2025
294,294,Snack,"Lassi, Boiled Egg, French Fries, Yogurt",254,27-05-2025
295,295,Dinner,"Milkshake, Pizza, Porridge, Masala Dosa, Idli",236,04-06-2025
296,296,Lunch,"Veg Sandwich, Tom Yum Soup, Upma",450,26-05-2025
297,297,Dinner,"Spaghetti Bolognese, Upma, Pasta Alfredo, Fruit Salad",284,27-05-2025
298,298,Snack,"Sushi, Mac and Cheese, Vada",991,26-05-2025
299,299,Breakfast,"Paneer Butter Masala, Spaghetti Bolognese",114,10-06-2025
300,300,Breakfast,"Sushi, Biryani",743,18-05-2025
301,301,Dinner,"Paneer Butter Masala, Pasta Alfredo",650,10-06-2025
302,302,Breakfast,"Butter Naan, Sambar Rice, Mutton Rogan Josh",917,04-06-2025
303,303,Snack,"Dal Tadka, Pav Bhaji",1020,02-06-2025
304,304,Breakfast,"Pav Bhaji, Burrito, Nachos, Butter Naan",113,06-06-2025
305,305,Snack,"Buttermilk, Masala Dosa, Paneer Butter Masala, Omelette",808,17-05-2025
306,306,Breakfast,"Tom Yum Soup, Mutton Rogan Josh, Smoothie Bowl, Scrambled Egg, Manchurian",415,11-06-2025
307,307,Snack,"Ramen, Porridge, Bibimbap, Greek Salad",952,25-05-2025
308,308,Breakfast,"Nachos, Paneer Butter Masala, Muesli",667,28-05-2025
309,309,Dinner,"Butter Naan, Protein Shake",788,01-06-2025
310,310,Dinner,"Poha, Lassi, Mutton Rogan Josh, Muesli",898,13-06-2025
311,311,Breakfast,"Green Curry, Grilled Chicken, Buttermilk, French Fries, Chicken Curry",643,23-05-2025
312,312,Lunch,"Caesar Salad, Smoothie Bowl",1023,01-06-2025
313,313,Snack,"Burrito, Mutton Rogan Josh, Green Curry, Poha, Tom Yum Soup",953,15-06-2025
314,314,Dinner,"Cereal, Milkshake, Tandoori Chicken",433,23-05-2025
315,315,Breakfast,"Bibimbap, Pho, Paneer Butter Masala",177,05-06-2025
316,316,Lunch,"Aloo Paratha, Ramen, Burger, Smoothie Bowl, Dal Tadka",786,21-05-2025
